name	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	isotopes	adduct	pcgroup
M86T232	M86.0969T232	86.0968697259893	86.0968502667671	86.0968963428835	231.929784	230.664126	253.484298	3	2	[9][M]-	[M+Cl]- 51.1274 [M-H]- 87.1041	24
M86T125	M86.0968T125	86.0968332689623	86.0968332689623	86.0968332689623	124.618176	124.618176	124.618176	1	1			1081
M86T93	M86.0968T93	86.0967789321056	86.0967789321056	86.0967789321056	93.341214	93.341214	93.341214	1	1			27
M86T283_1	M86.1296T283_1	86.1296081547474	86.1295909689024	86.1296253405923	282.907119	282.719382	283.094856	2	2			429
M86T283_2	M86.136T283_2	86.1359664227775	86.1359643280745	86.1359685174805	282.639687	282.559992	282.719382	2	2	[8][M+1]-		423
M87T253	M87.0267T253	87.0267400842007	87.0267400842007	87.0267400842007	253.230162	253.230162	253.230162	1	1		[M+Cl]- 52.0572 [M-H]- 88.0339	33
M87T389	M87.0437T389	87.0437486227571	87.0437486227571	87.0437486227571	389.01309	389.01309	389.01309	1	1		[M-H-CO]- 116.046	6
M87T80	M87.0445T80	87.0444642102819	87.0444638853592	87.0444719375087	80.3751	79.172406	80.529786	3	3			140
M87T411	M87.0557T411	87.0556768267078	87.0548917676289	87.0556785848019	410.652786	402.701478	414.743148	3	3			1858
M87T460	M87.0637T460	87.0636733479098	87.0636733479098	87.0636733479098	459.835314	459.835314	459.835314	1	1			1418
M87T125	M87.0742T125	87.0741799430879	87.074158225053	87.0742012843137	125.484723	125.073318	125.74737	4	4			25
M87T420	M87.0742T420	87.0741971234018	87.0741971234018	87.0741971234018	420.370218	420.370218	420.370218	1	1			924
M87T1125	M87.0921T1125	87.0920902357394	87.0920693394603	87.0921225016334	1124.67888	1123.18104	1126.68072	5	5		[M-H-C2H4]- 116.13	131
M87T515	M87.1T515	87.1000020911491	87.099991898552	87.1000122837463	514.665282	513.60426	515.726304	2	2			1349
M87T232	M87.1002T232	87.1001872873283	87.1001738460422	87.1001902148714	232.197198	230.664126	254.286546	3	2	[9][M+1]-		24
